StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Learning Gain,Pre-Test,Post-Test,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,Attention Yes,Attention No,Attention Idle or ?,mood_neutral,mood_down,mood_up,mood_q,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
213,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,105.5555556,18,19,0,828,322,320,40,10,6,51,0,3,2,4,2,54,2,40,0,0,0
214,Hamilton,2,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,266.6666667,3,8,0,422,290,284,51,3,2,54,2,0,0,2,0,56,0,50,1,0,0
215,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,500,3,15,2,188,239,236,51,3,2,54,1,1,0,2,0,56,0,50,0,1,0
217,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,NA,0,15,2,350,232,220,54,21,4,64,3,12,0,1,3,79,0,54,0,0,0
218,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,NA,NA,16,4,448,246,246,62,15,2,73,0,6,0,2,0,79,0,59,0,3,0
219,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,1000,1,10,6,355,139,133,73,5,1,76,0,3,0,1,0,79,0,73,0,0,0
220,Hamilton,5,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,240,5,12,2,302,239,232,72,3,4,78,0,0,1,3,1,79,0,72,0,0,0
222,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,177.7777778,9,16,0,427,248,244,54,6,9,66,0,3,0,3,6,69,0,54,0,0,0
223,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,138.4615385,13,18,1,483,281,268,53,14,13,79,0,0,1,12,1,80,0,53,0,0,0
224,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,118.75,16,19,0,823,332,322,64,6,9,73,0,0,6,3,6,73,6,64,0,0,0
225,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,146.1538462,13,19,0,857,299,299,61,11,8,80,0,0,0,8,0,80,0,61,0,0,0
226,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,237.5,8,19,1,477,272,268,39,34,6,55,0,21,3,0,6,76,3,39,0,0,0
228,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,154.5454545,11,17,1,783,311,311,76,0,3,79,0,0,0,0,3,79,0,76,0,0,0
229,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,NA,NA,22,1,544,239,235,58,6,15,70,3,0,6,9,6,73,6,55,3,0,0
230,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,466.6666667,3,14,2,299,242,236,60,18,1,70,0,9,0,1,0,79,0,60,0,0,0
231,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,135.7142857,14,19,4,708,301,299,56,10,13,70,3,0,6,7,6,79,0,56,0,0,0
232,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,111.1111111,18,20,2,697,314,314,78,0,1,76,0,3,0,1,0,79,0,75,0,3,0
233,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,750,2,15,1,234,200,194,62,8,9,70,0,9,0,0,9,79,0,59,0,3,0
234,Hamilton,5,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,128.5714286,7,9,0,505,269,267,65,7,7,70,0,9,0,4,3,79,0,65,0,0,0
235,Hamilton,5,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,400,2,8,4,295,250,246,79,1,0,77,3,0,0,0,0,80,0,76,3,0,0
236,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,300,6,18,0,527,217,207,7,2,70,10,0,0,69,1,69,10,69,7,0,0,0
238,Hamilton,5,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,100,11,11,0,587,282,276,70,3,6,73,0,0,6,0,6,76,3,70,0,0,0
239,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,146.1538462,13,19,0,645,300,296,55,10,15,65,0,9,6,6,9,77,3,52,0,3,0
240,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,146.1538462,13,19,3,707,320,318,73,3,3,70,0,6,3,0,3,76,3,70,0,3,0
242,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,150,10,15,4,503,228,219,59,12,8,79,0,0,0,8,0,79,0,59,0,0,0
243,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,136.3636364,11,15,8,259,229,225,77,0,2,79,0,0,0,2,0,79,0,77,0,0,0
244,Hamilton,5,tablet,no,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,131.25,16,21,1,831,320,315,74,5,0,79,0,0,0,0,0,79,0,74,0,0,0
246,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,121.4285714,14,17,0,317,292,292,62,2,2,64,0,2,0,0,2,66,0,62,0,0,0
247,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,175,12,21,1,928,298,298,55,9,2,64,2,0,0,0,2,66,0,55,0,0,0
248,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,145.4545455,11,16,0,362,288,279,56,5,5,64,0,2,0,3,2,66,0,56,0,0,0
249,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,110,20,22,6,735,296,296,60,2,4,64,0,0,2,2,2,64,2,60,0,0,0
250,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,166.6666667,12,20,4,500,289,285,58,8,0,62,0,4,0,0,0,66,0,56,0,2,0
251,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,88.23529412,17,15,3,331,221,216,47,13,6,62,4,0,0,0,6,66,0,47,0,0,0
252,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,135.7142857,14,19,1,600,281,279,54,6,4,58,4,2,0,0,4,64,0,50,2,2,0
253,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,600,3,18,3,240,274,266,55,2,9,58,2,4,2,1,8,64,2,49,2,4,0
254,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,NA,NA,16,1,550,249,241,44,16,6,54,2,10,0,2,4,66,0,42,0,2,0
255,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,NA,5,NA,1,433,292,288,33,1,32,42,0,0,24,2,30,42,24,33,0,0,0
256,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,216.6666667,6,13,0,361,221,221,48,11,7,66,0,0,0,1,6,66,0,48,0,0,0
257,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,163.6363636,11,18,3,538,297,289,50,3,11,52,2,8,2,3,8,62,2,46,0,4,0
258,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,105.5555556,18,19,1,381,268,253,33,6,27,40,0,2,24,3,24,42,24,33,0,0,0
260,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,300,7,21,3,397,236,232,49,8,7,54,8,2,0,3,4,64,0,43,6,0,0
261,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,280,5,14,1,466,300,296,44,18,4,52,10,4,0,0,4,66,0,34,8,2,0
262,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,166.6666667,3,5,4,438,261,250,42,16,8,62,2,0,2,0,8,64,2,40,2,0,0
263,Hamilton,6,tablet,no,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,NA,NA,14,1,315,284,274,42,10,14,54,0,4,8,0,14,58,8,42,0,0,0
264,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,400,4,16,4,215,267,263,60,6,0,66,0,0,0,0,0,66,0,60,0,0,0
479,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,316.6666667,6,19,0,240,255,253,55,9,2,62,2,2,0,0,2,66,0,55,0,0,0
480,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,NA,NA,12,1,126,209,209,36,24,6,51,2,12,1,3,3,65,1,32,2,2,0
481,Hamilton,6,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,11,160,10,16,1,3,6,0,45,16,5,62,0,4,0,1,4,66,0,45,0,0,0
5101,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,200,11,22,0,205,254,227,56,4,2,60,1,1,0,2,0,62,0,55,1,0,0
5102,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,116.6666667,12,14,1,174,217,185,36,20,6,49,1,7,5,1,5,57,5,36,0,0,0
5103,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,NA,NA,8,1,171,258,164,52,7,3,60,0,2,0,3,0,62,0,51,0,1,0
5104,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,133.3333333,15,20,0,149,222,195,52,5,5,61,0,0,1,4,1,61,1,52,0,0,0
5105,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,166.6666667,9,15,0,161,250,224,50,6,6,61,0,1,0,6,0,62,0,50,0,0,0
5106,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,113.3333333,15,17,2,142,253,193,39,16,7,56,0,3,3,4,3,59,3,39,0,0,0
5107,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,212.5,8,17,2,166,224,196,44,16,2,58,1,2,1,1,1,61,1,44,0,0,0
5108,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,117.6470588,17,20,0,192,254,242,56,4,2,62,0,0,0,2,0,62,0,56,0,0,0
5109,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,750,2,15,1,159,216,189,45,13,4,59,1,2,0,4,0,62,0,44,1,0,0
5110,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,158.3333333,12,19,2,175,253,232,42,17,3,58,1,1,2,1,2,60,2,41,1,0,0
5111,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,212.5,8,17,0,172,241,227,57,4,1,62,0,0,0,1,0,62,0,57,0,0,0
5112,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,216.6666667,6,13,2,74,196,159,49,10,3,56,6,0,0,3,0,62,0,48,1,0,0
5113,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,NA,NA,19,1,155,233,222,46,16,0,58,3,1,0,0,0,62,0,44,2,0,0
5114,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,153.8461538,13,20,2,202,249,226,46,13,3,58,1,0,3,0,3,59,3,46,0,0,0
5115,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,400,5,20,1,151,261,221,51,10,1,61,1,0,0,1,0,62,0,50,1,0,0
5117,Hamilton,3,paper,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,8,366.6666667,6,22,1,104,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,200,1,2,NA,245,106,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,350,2,7,NA,289,130,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,Lakota,2,tablet,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,NA,3,NA,NA,132,80,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,Lakota,2,tablet,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,50,2,1,NA,262,130,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,Lakota,2,tablet,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,700,1,7,NA,222,77,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,Lakota,2,tablet,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,50,10,5,NA,313,107,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,NA,0,1,NA,199,61,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,Lakota,2,tablet,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,466.6666667,3,14,NA,250,68,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,125,4,5,NA,353,100,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,Lakota,2,tablet,no,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,233.3333333,3,7,NA,63,45,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,NA,0,5,NA,199,89,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,NA,8,NA,NA,110,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,128.5714286,7,9,NA,257,62,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,0,2,0,NA,269,126,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,#DIV/0!,0,10,NA,134,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,200,3,6,NA,300,116,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,83.33333333,6,5,NA,299,104,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,NA,0,2,NA,108,33,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,Lakota,2,tablet,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,100,4,4,NA,161,68,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,0,1,0,NA,123,28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,Lakota,2,tablet,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,300,3,9,NA,442,132,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,500,1,5,NA,442,109,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,NA,NA,5,NA,194,49,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,200,2,4,NA,617,133,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,Lakota,2,tablet,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,120,5,6,NA,284,78,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5401,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,231.25,8,18.5,NA,18,114,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5402,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,107.6923077,13,14,NA,107,91,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5403,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,142.8571429,7,10,NA,105,133,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5404,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,466.6666667,3,14,NA,0,84,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5405,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,400,0.5,2,NA,0,106,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5406,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,250,2,5,NA,76,88,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5407,Lakota,1,paper,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,100,7,7,NA,48,106,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5408,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,300,6,18,NA,0,69,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5409,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,166.6666667,6,10,NA,22,147,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5410,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,200,5,10,NA,80,93,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5411,Lakota,1,paper,NA,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,100,1,1,NA,0,45,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5412,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,222.2222222,9,20,NA,0,72,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5413,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,25,4,1,NA,0,77,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5414,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,#DIV/0!,0,1,NA,78,33,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5415,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,316.6666667,6,19,NA,63,108,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5416,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,NA,NA,18,NA,0,142,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5417,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,111.1111111,9,10,NA,54,65,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5418,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,333.3333333,3,10,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5419,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,550,2,11,NA,30,98,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5420,Lakota,1,paper,y,53,7,0.6,16.1,12.1,18.9,37.8,14.4,69.5,55,26,114.2857143,7,8,NA,0,54,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
